text,label,text_clean
Then anything special?,ham,then anything special?
It only does simple arithmetic not percentages.,ham,it only does simple arithmetic not percentages.
I.ll hand her my phone to chat wit u,ham,i.ll hand her my phone to chat wit u
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam,"you have won ?1,000 cash or a ?2,000 prize! to claim, call09050000327. t&c: rstm, sw7 3ss. 150ppm"
Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),spam,babe: u want me dont u baby! im nasty and have a thing 4 filthyguys. fancy a rude time with a sexy bitch. how about we go slo n hard! txt xxx slo(4msgs)
Nt joking seriously i told,ham,nt joking seriously i told
"K, wait chikku..il send aftr  &lt;#&gt; mins",ham,"k, wait chikku..il send aftr &lt;#&gt; mins"
"Hey, iouri gave me your number, I'm wylie, ryan's friend",ham,"hey, iouri gave me your number, i'm wylie, ryan's friend"
I am in tirupur.  call you da.,ham,i am in tirupur. call you da.
Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,spam,dear dave this is your final notice to collect your 4* tenerife holiday or #5000 cash award! call 09061743806 from landline. tcs sae box326 cw25wx 150ppm
"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""",ham,"\alrite hunny!wot u up 2 2nite? didnt end up goin down town jus da pub instead! jus chillin at da mo in me bedroom!love jen xxx.\"""""
Ok no prob... I'll come after lunch then...,ham,ok no prob... i'll come after lunch then...
Did u fix the teeth?if not do it asap.ok take care.,ham,did u fix the teeth?if not do it asap.ok take care.
I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end,spam,i am hot n horny and willing i live local to you - text a reply to hear strt back from me 150p per msg netcollex ltdhelpdesk: 02085076972 reply stop to end
"I don't think I can get away for a trek that long with family in town, sorry",ham,"i don't think i can get away for a trek that long with family in town, sorry"
Stop knowing me so well!,ham,stop knowing me so well!
Everybody had fun this evening. Miss you.,ham,everybody had fun this evening. miss you.
I'm always looking for an excuse to be in the city.,ham,i'm always looking for an excuse to be in the city.
I want to be there so i can kiss you and feel you next to me,ham,i want to be there so i can kiss you and feel you next to me
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117,spam,ur going 2 bahamas! callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise ofå£2000 cash 18+only. to opt out txt x to 07786200117
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ham,"new theory: argument wins d situation, but loses the person. so dont argue with ur friends just.. . . . kick them &amp; say, i'm always correct.!"
Yes:)here tv is always available in work place..,ham,yes:)here tv is always available in work place..
Dont pick up d call when something important is There to tell. Hrishi,ham,dont pick up d call when something important is there to tell. hrishi
Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,ham,oi. ami parchi na re. kicchu kaaj korte iccha korche na. phone ta tul na. plz. plz.
I want  &lt;#&gt;  rs da:)do you have it?,ham,i want &lt;#&gt; rs da:)do you have it?
Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,ham,baaaaabe! i misss youuuuu ! where are you ? i have to go and teach my class at 5 ...
"I think your mentor is , but not 100 percent sure.",ham,"i think your mentor is , but not 100 percent sure."
Ryder unsold.now gibbs.,ham,ryder unsold.now gibbs.
Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,spam,santa calling! would your little ones like a call from santa xmas eve? call 09058094583 to book your time.
"This is one of the days you have a billion classes, right?",ham,"this is one of the days you have a billion classes, right?"
K:)k:)what are detail you want to transfer?acc no enough?,ham,k:)k:)what are detail you want to transfer?acc no enough?
Are you the cutest girl in the world or what,ham,are you the cutest girl in the world or what
Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,ham,hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..
